CATEGORY,CALL GROUPS,final_case_type,CASE DESC,occ_date,x_coordinate,y_coordinate,census_tract
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7627009,710228,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7627109,710045,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7644761,690250,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7649826,680465,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7664343,696396,7500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7666986,663517,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7669275,668437,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7677952,691485,8002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7688431,676280,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7635080,661720,6502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7638739,687694,4700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7640916,702860,3802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7642856,683435,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7643982,698148,3501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7644276,685268,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7645815,699374,3702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7648663,681336,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7649005,679190,1102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7651887,688292,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7663519,683713,1802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7669051,673678,702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7670128,693282,2903
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7671596,671652,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7679854,682414,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7680219,692486,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7642637,684174,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7644276,685268,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7647719,690654,2203
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7648045,684603,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7653497,669987,301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7668712,663739,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7669700,699914,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7670418,668677,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7674433,698147,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7680587,683344,9302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7682081,673761,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7625629,708548,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7632815,659587,6502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7651764,701084,3602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7661276,673723,802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7668688,674708,701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7670907,665745,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7671019,675061,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7672053,675875,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7673475,671329,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7675631,689160,8001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7682081,673761,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7684392,678593,9202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7630457,660211,6501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7638420,682725,4602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7645419,684173,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7648551,698281,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7651082,700833,3601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7659596,688630,2702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7677145,663928,8901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7679358,674388,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7679511,665860,8901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7692104,672067,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7641467,685951,5000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7643979,681935,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7657266,693597,3000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7638598,705886,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7641077,686649,4900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7641184,719527,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7648858,699825,3601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7650338,688519,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7664049,692479,2801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7666147,663142,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7678633,695981,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/1/2016,7679716,695764,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7643050,683302,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7644523,712704,7202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7644848,713640,7202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7647075,697690,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7648038,687220,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7649116,688473,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7649596,703229,3601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7650690,677434,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7652307,686412,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7659357,668168,401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7666338,695677,7600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7669367,685987,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7675869,696534,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7677244,700125,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7679643,671442,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7680011,687212,8002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/6/2016,7682549,695193,9502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7624589,709665,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7638468,677668,5800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7640671,685222,4900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7641714,681562,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7666305,661829,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7674067,684982,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7674927,686712,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7678886,669960,8500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7680454,688333,9400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7684164,679765,9202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/7/2016,7688532,677139,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7624050,709255,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7634632,708533,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7634632,708533,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7634800,708385,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7642320,718474,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7648373,687931,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7650579,687362,2402
