"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT13","WT14","WT16","WT18","WT21","WT22"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-01","7.38",,"0.00",,"0.0","0.0",,"40","23",,"  100","  110","19.9","25.1",,"    1",,,,,,,,"    1",,,,,"    1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-02","17.67",,"0.00",,"0.0","0.0",,"41","32",,"  100","  100","30.0","36.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-03","17.90",,"0.00",,"0.0","0.0",,"40","32",,"  100","  100","29.1","34.9",,,,,,,,,,,"    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-04","9.40",,"0.02",,"0.0","0.0",,"42","34",,"  120","  120","21.0","25.1","    1",,,,,,,,,"    1","    1",,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-05","12.30",,"0.02",,"0.0","0.0",,"38","34",,"  100","  110","29.1","33.1",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-06","7.38",,"0.19",,"0.0","0.0",,"40","34",,"  110","  110","16.1","17.9","    1",,,,,,,,,"    1","    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-07","11.41",,"0.07",,"0.0","0.0",,"53","39",,"  200","  200","25.1","32.0","    1",,,,,,,,,,"    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-08","10.51",,"0.14",,"0.0","0.0",,"55","44",,"  190","  180","21.0","25.9","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-09","7.61",,"0.22",,"0.0","0.0",,"53","36",,"  200","  220","21.9","30.0","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-10","2.46",,"0.16",,"0.0","0.0",,"40","33",,"  180","  180","8.1","8.9","    1",,,,,,,,,"    1","    1","    1","    1",,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-11","2.01",,"0.00",,"0.0","0.0",,"40","29",,"   60","   50","8.1","8.9","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-12","1.79",,"0.00",,"0.0","0.0",,"34","26",,"  300","  280","8.9","12.1",,,,,,,"    1",,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-13","2.46",,"0.00",,"0.0","0.0",,"34","26",,"  300","  300","8.9","12.1","    1",,,,,,,,,"    1",,,"    1",,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-14","2.68",,"0.03",,"0.0","0.0",,"34","29",,"  170","  180","8.9","10.1",,,,,,,"    1",,,"    1","    1",,"    1",,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-15","2.91",,"0.01",,"0.0","0.0",,"38","34",,"  310","  310","8.9","10.1","    1",,,,,,,,,"    1","    1",,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-16","1.12",,"0.00",,"0.0","0.0",,"37","34",,"  300","  300","6.0","6.9",,,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-17","2.68",,"0.00",,"0.0","0.0",,"44","31",,"  110","  110","10.1","12.1","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-18","0.89",,"0.00",,"0.0","0.0",,"46","26",,"  100","  100","6.0","6.9",,,,,,,"    1",,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-19","1.79",,"0.00",,"0.0","0.0",,"37","25",,"  280","  280","8.1","8.1","    1","    1",,,,,,,,"    1",,,,,"    1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-20","1.57",,"0.00",,"0.0","0.0",,"42","27",,"  140","  110","6.9","8.9",,"    1",,,,,,,,"    1",,,,,"    1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-21","5.14",,"0.00",,"0.0","0.0",,"42","23",,"  120","  130","17.9","23.0","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-22","6.71",,"0.00",,"0.0","0.0",,"42","24",,"  130","  130","16.1","21.0","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-23","9.40",,"0.21",,"0.0","0.0",,"36","32",,"  110","  120","17.9","21.9","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-24","2.91",,"0.26",,"0.0","0.0",,"44","34",,"  130","  130","16.1","19.9",,,,,,,,,,"    1","    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-25","8.50",,"0.24",,"0.0","0.0",,"46","36",,"  110","  120","15.0","17.9","    1","    1",,,,,,,,,"    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-26","6.04",,"0.03",,"0.0","0.0",,"47","38",,"  210","  200","17.9","21.0",,,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-27","5.14",,"0.15",,"0.0","0.0",,"43","37",,"  220","  220","14.1","19.9","    1",,,,,,,,,,"    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-28","2.68",,"1.00",,"0.0","0.0",,"45","40",,"  220","  210","8.1","12.1","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-29","6.71",,"0.47",,"0.0","0.0",,"48","43",,"  200","  220","15.0","17.9","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-30","5.59",,"0.27",,"0.0","0.0",,"50","44",,"  200","  200","17.9","23.0","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-01-31","3.36",,"0.00",,"0.0","0.0",,"52","43",,"   80","   90","10.1","12.1","    1","    1",,,,,,,,"    1",,"    1",,,
